Threshold,AUC,Accuracy,AUC of fault injection,Baseline accuracy
0,0.09999,0,0,0
0.5,0.173280976,0,0,0
1,0.368135448,0,0,0
1.5,0.519529788,0,0,0
2,0.591397378,0,0,0
2.5,0.636216552,0,0,0
3,0.657665832,0,0,0
3.5,0.666076608,0,0,0
4,0.671890668,0,0,0
4.5,0.673943934,0,0,0
5,0.675838098,0,0,0
5.5,0.676626752,0,0,0
6,0.677564274,0,0,0
6.5,0.677464294,0,0,0
7,0.676611724,0,0,0
7.5,0.676478924,0,0,0
8,0.676690324,0,0,0
10,0.676560224,0,0,0
13,0.676595224,0,0,0
15,0.676595224,0,0,0
18,0.676613224,0,0,0
20,0.676613224,0,0,0
23,0.676613224,0,0,0
25,0.676613224,0,0,0
28,0.676613224,0,0,0
30,0.676613224,0,0,0
33,0.676613224,0,0,0
38,0.676613224,0,0,0
43,0.676613224,0,0,0
48,0.676613224,0,0,0
53,0.676613224,0,0,0
58,0.676613224,0,0,0
63,0.676613224,0,0,0
68,0.676613224,0,0,0
73,0.676613224,0,0,0
78,0.676613224,0,0,0
